TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD,Latitude,Longitude
Armed Robbery,2020,8,29,1,50,Kahawa West,-1.186717399,36.9032706
Terrorism,2020,11,9,3,28,Githurai,-1.204866636,36.92777526
Drug Charges,2018,2,22,11,7,UpperHill,-1.30067329,36.81582487
Armed Robbery,2017,9,27,3,49,Ngong,-1.366907424,36.67197658
Drug Charges,2019,8,7,24,34,Kahawa West,-1.186717399,36.9032706
Carjacking,2018,2,19,19,52,Githurai,-1.203965613,36.91241157
Drug Charges,2020,10,15,22,47,Kahawa West,-1.188605268,36.89691913
Drug Charges,2018,8,7,0,37,Kibera,-1.313377257,36.79784201
Sexual Assault,2017,8,17,7,9,Githurai,-1.210787637,36.91850554
Carjacking,2020,6,23,1,10,Parklands,-1.260482383,36.80860436
Fraud,2017,5,7,22,32,Parklands,-1.25514071,36.80907643
Drug Charges,2018,11,27,23,20,UpperHill,-1.299707944,36.80938757
Armed Robbery,2018,7,4,0,23,Kibera,-1.3159515,36.79043911
Road Carnage,2018,5,27,12,15,South C,-1.309374327,36.82633747
Fraud,2019,8,6,3,7,Kibera,-1.3159515,36.79043911
Armed Robbery,2018,6,27,24,47,Ngong,-1.361415817,36.66742756
Armed Robbery,2018,5,14,13,21,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2018,5,6,0,35,Thika,-1.048427594,37.07454568
Drug Charges,2017,10,8,13,11,Parklands,-1.259163055,36.8206743
Carjacking,2018,4,6,14,18,Uhuru Park,-1.2903935,36.8165834
Carjacking,2020,3,30,18,15,South C,-1.312034383,36.82256092
Carjacking,2017,11,11,3,21,Ngong,-1.366907424,36.67197658
Carjacking,2020,8,2,22,57,UpperHill,-1.299707944,36.80938757
Armed Robbery,2018,7,15,13,48,Githurai,-1.204866636,36.92777526
Drug Charges,2017,4,2,23,3,Githurai,-1.210787637,36.91850554
Armed Robbery,2017,9,10,18,12,Thika,-1.055464524,37.10123903
Armed Robbery,2017,1,24,17,15,Uhuru Park,-1.288523315,36.81737861
Carjacking,2020,7,14,23,34,South B,-1.315525825,36.83550016
Road Carnage,2018,1,4,1,49,South C,-1.327136577,36.82569374
Road Carnage,2019,4,9,4,7,Kibera,-1.314278242,36.79372214
Terrorism,2019,12,10,5,11,Parklands,-1.25514071,36.80907643
Terrorism,2017,5,2,23,47,Kahawa West,-1.181697376,36.90348517
Pick Pocketing,2017,1,25,7,9,Kahawa West,-1.187060648,36.8999232
Carjacking,2020,7,25,11,37,Ngong,-1.375659647,36.6759248
Pick Pocketing,2019,12,7,1,57,Kahawa West,-1.187060648,36.8999232
Pick Pocketing,2017,2,26,14,30,Kibera,-1.3159515,36.79043911
Armed Robbery,2019,3,23,5,36,South C,-1.309374327,36.82633747
Armed Robbery,2018,12,1,22,7,Kibera,-1.3159515,36.79043911
Sexual Assault,2020,2,20,9,31,Kibera,-1.313956462,36.79674767
Pick Pocketing,2017,11,26,18,13,South B,-1.309572883,36.83095113
Drug Charges,2019,5,2,14,33,Kibera,-1.314278242,36.79372214
Terrorism,2017,12,18,14,8,Ngong,-1.366907424,36.67197658
Armed Robbery,2020,8,3,13,1,Ngong,-1.349746111,36.65120556
Pick Pocketing,2019,8,8,19,33,Uhuru Park,-1.2903935,36.8165834
Fraud,2018,10,19,7,49,Kibera,-1.314278242,36.79372214
Pick Pocketing,2020,11,19,6,53,Thika,-1.048427594,37.07454568
Drug Charges,2017,11,24,10,34,South C,-1.327136577,36.82569374
Drug Charges,2018,11,10,2,58,Githurai,-1.203965613,36.91241157
Carjacking,2018,5,12,16,49,South C,-1.309374327,36.82633747
Drug Charges,2019,9,15,24,30,Kibera,-1.310631395,36.79153345
Armed Robbery,2018,11,8,12,13,South B,-1.315525825,36.83550016
Pick Pocketing,2018,2,17,20,57,South C,-1.327136577,36.82569374
Terrorism,2019,9,15,12,51,UpperHill,-1.298549527,36.81274569
Road Carnage,2020,10,8,24,56,Thika,-1.055464524,37.10123903
Sexual Assault,2017,12,17,6,44,South B,-1.314378142,36.83863298
Pick Pocketing,2017,5,15,1,32,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2018,8,31,18,16,Parklands,-1.261286851,36.81704796
Sexual Assault,2019,6,22,17,2,Kahawa West,-1.181697376,36.90348517
Carjacking,2017,3,11,8,25,Githurai,-1.203965613,36.91241157
Pick Pocketing,2018,10,1,6,16,Thika,-1.055464524,37.10123903
Carjacking,2017,12,27,11,4,Kibera,-1.314278242,36.79372214
Pick Pocketing,2020,7,25,14,55,UpperHill,-1.298549527,36.81274569
Terrorism,2017,2,3,15,26,Kahawa West,-1.186717399,36.9032706
Pick Pocketing,2017,8,4,1,27,UpperHill,-1.298549527,36.81274569
Sexual Assault,2019,10,28,24,57,UpperHill,-1.298163388,36.81816375
Sexual Assault,2018,5,1,1,10,Parklands,-1.25514071,36.80907643
Armed Robbery,2020,5,10,4,6,South C,-1.309374327,36.82633747
Pick Pocketing,2019,1,4,7,55,South C,-1.315895748,36.82659496
Terrorism,2019,12,26,15,45,Ngong,-1.375659647,36.6759248
Armed Robbery,2019,3,13,0,32,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2017,12,28,14,25,Uhuru Park,-1.288523315,36.81737861
Drug Charges,2018,7,8,20,49,UpperHill,-1.299707944,36.80938757
Drug Charges,2020,6,8,9,60,South C,-1.315895748,36.82659496
Terrorism,2019,6,13,0,8,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2018,8,11,4,9,UpperHill,-1.299707944,36.80938757
Armed Robbery,2018,2,25,19,59,South C,-1.309374327,36.82633747
Armed Robbery,2017,11,3,8,58,Thika,-1.028089061,37.06853754
Sexual Assault,2018,9,23,15,3,Kahawa West,-1.187060648,36.8999232
Drug Charges,2018,5,15,12,57,Parklands,-1.25514071,36.80907643
Fraud,2019,8,15,12,55,Thika,-1.055464524,37.10123903
Armed Robbery,2020,12,3,17,38,Uhuru Park,-1.2903935,36.8165834
Armed Robbery,2020,6,27,22,30,UpperHill,-1.299707944,36.80938757
Road Carnage,2018,12,20,19,18,South C,-1.327222385,36.83938373
Pick Pocketing,2020,8,8,6,18,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2017,9,30,18,20,Githurai,-1.204866636,36.92777526
Road Carnage,2017,6,30,16,37,Thika,-1.028089061,37.06853754
Fraud,2018,8,28,18,23,UpperHill,-1.298163388,36.81816375
Pick Pocketing,2017,10,19,21,8,Uhuru Park,-1.288523315,36.81737861
Drug Charges,2020,3,30,18,22,South B,-1.314378142,36.83863298
Armed Robbery,2020,3,7,21,49,Kahawa West,-1.188605268,36.89691913
Pick Pocketing,2017,4,16,11,43,UpperHill,-1.298549527,36.81274569
Terrorism,2018,1,24,22,51,South C,-1.312034383,36.82256092
Sexual Assault,2019,12,29,13,31,Kibera,-1.313377257,36.79784201
Road Carnage,2018,10,9,14,41,South B,-1.314378142,36.83863298
Pick Pocketing,2018,6,22,23,57,Thika,-1.055464524,37.10123903
Road Carnage,2018,7,10,24,7,South B,-1.309572883,36.83095113
Armed Robbery,2018,2,17,7,36,UpperHill,-1.299707944,36.80938757
Terrorism,2018,3,7,12,28,UpperHill,-1.298549527,36.81274569
Fraud,2020,2,19,2,35,Kahawa West,-1.181697376,36.90348517
Terrorism,2020,7,14,17,17,Kibera,-1.3159515,36.79043911
Terrorism,2019,12,28,18,54,South C,-1.327136577,36.82569374
Armed Robbery,2020,11,23,11,48,Kahawa West,-1.187060648,36.8999232
Road Carnage,2018,4,18,16,39,Kibera,-1.3159515,36.79043911
Terrorism,2020,2,23,4,27,Kibera,-1.310631395,36.79153345
Pick Pocketing,2018,12,17,13,35,Thika,-1.03581257,37.08390123
Pick Pocketing,2017,5,2,16,16,South C,-1.315895748,36.82659496
Armed Robbery,2018,8,29,7,45,Uhuru Park,-1.2903935,36.8165834
Road Carnage,2017,12,24,5,33,UpperHill,-1.298163388,36.81816375
Terrorism,2020,5,26,12,13,Kibera,-1.310631395,36.79153345
Terrorism,2019,7,10,14,33,Parklands,-1.260482383,36.80860436
Terrorism,2017,4,11,3,10,Ngong,-1.361415817,36.66742756
Armed Robbery,2018,1,28,21,49,Ngong,-1.361415817,36.66742756
Carjacking,2019,6,10,16,58,Uhuru Park,-1.288523315,36.81737861
Terrorism,2018,12,25,23,33,Githurai,-1.210787637,36.91850554
Carjacking,2017,5,11,18,17,Parklands,-1.261286851,36.81704796
Pick Pocketing,2017,10,12,23,26,Kibera,-1.313377257,36.79784201
Sexual Assault,2017,12,14,14,36,Parklands,-1.261286851,36.81704796
Drug Charges,2018,4,8,16,42,South B,-1.309572883,36.83095113
Terrorism,2019,1,8,15,8,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2018,1,8,20,18,UpperHill,-1.299707944,36.80938757
Road Carnage,2017,4,9,15,2,Thika,-1.03581257,37.08390123
Sexual Assault,2018,11,24,16,44,Kibera,-1.313377257,36.79784201
Carjacking,2017,12,7,19,50,Thika,-1.03581257,37.08390123
Terrorism,2017,10,4,10,16,Githurai,-1.210787637,36.91850554
Road Carnage,2018,1,27,0,54,Kahawa West,-1.188605268,36.89691913
Road Carnage,2020,8,1,8,27,Kahawa West,-1.187060648,36.8999232
Drug Charges,2018,6,31,18,59,Thika,-1.03581257,37.08390123
Fraud,2017,5,21,21,29,Ngong,-1.349746111,36.65120556
Road Carnage,2019,5,16,15,56,Thika,-1.055464524,37.10123903
Fraud,2020,11,28,15,21,South C,-1.315895748,36.82659496
Road Carnage,2017,11,19,7,25,UpperHill,-1.298163388,36.81816375
Terrorism,2020,11,1,1,14,South C,-1.309374327,36.82633747
Carjacking,2018,11,6,5,10,Parklands,-1.260482383,36.80860436
Terrorism,2018,6,20,0,34,Ngong,-1.375659647,36.6759248
Sexual Assault,2020,3,11,3,45,Githurai,-1.210787637,36.91850554
Fraud,2018,6,6,0,39,South B,-1.309873212,36.83713094
Carjacking,2018,6,9,6,40,South C,-1.327222385,36.83938373
Drug Charges,2017,12,14,20,12,Githurai,-1.210787637,36.91850554
Sexual Assault,2019,8,20,16,22,UpperHill,-1.299707944,36.80938757
Drug Charges,2018,6,23,16,43,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2017,9,17,20,39,Parklands,-1.261286851,36.81704796
Terrorism,2020,10,20,15,22,Parklands,-1.261286851,36.81704796
Drug Charges,2019,7,14,10,15,Parklands,-1.261286851,36.81704796
Terrorism,2019,5,28,10,44,Uhuru Park,-1.288523315,36.81737861
Carjacking,2017,10,8,13,52,Githurai,-1.203965613,36.91241157
Road Carnage,2020,2,8,10,52,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,6,3,3,7,Ngong,-1.349746111,36.65120556
Carjacking,2018,9,25,24,1,Thika,-1.055464524,37.10123903
Fraud,2020,7,25,8,1,Thika,-1.048427594,37.07454568
Road Carnage,2019,7,30,5,26,South C,-1.327136577,36.82569374
Armed Robbery,2018,1,18,16,22,Kibera,-1.313956462,36.79674767
Road Carnage,2018,10,26,5,37,Parklands,-1.25514071,36.80907643
Carjacking,2018,5,15,15,27,Githurai,-1.204866636,36.92777526
Carjacking,2020,11,16,20,49,South B,-1.309572883,36.83095113
Fraud,2018,2,10,11,27,Ngong,-1.361415817,36.66742756
Carjacking,2019,8,23,4,57,South C,-1.312034383,36.82256092
Road Carnage,2018,1,19,0,9,Parklands,-1.261286851,36.81704796
Pick Pocketing,2018,1,9,7,55,Kibera,-1.313956462,36.79674767
Carjacking,2020,9,30,11,58,Githurai,-1.203965613,36.91241157
Fraud,2017,3,4,24,47,Thika,-1.03581257,37.08390123
Fraud,2020,3,3,12,33,Uhuru Park,-1.291912768,36.81687435
Armed Robbery,2020,2,21,17,50,Kahawa West,-1.186717399,36.9032706
Drug Charges,2019,4,29,9,31,South C,-1.312034383,36.82256092
Carjacking,2018,5,21,13,3,South B,-1.309572883,36.83095113
Pick Pocketing,2017,1,13,0,46,Kahawa West,-1.188605268,36.89691913
Terrorism,2017,1,10,23,7,Githurai,-1.203064589,36.9597901
Road Carnage,2020,4,2,14,23,Githurai,-1.204866636,36.92777526
Pick Pocketing,2018,7,1,11,43,UpperHill,-1.298549527,36.81274569
Road Carnage,2017,2,16,2,25,Githurai,-1.204866636,36.92777526
Pick Pocketing,2018,2,27,9,35,Ngong,-1.361415817,36.66742756
Armed Robbery,2018,7,8,14,10,South B,-1.315525825,36.83550016
Terrorism,2020,10,12,8,56,Kibera,-1.3159515,36.79043911
Armed Robbery,2018,6,3,1,6,Kibera,-1.3159515,36.79043911
Armed Robbery,2017,5,9,0,12,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2018,4,4,23,27,Kahawa West,-1.187060648,36.8999232
Drug Charges,2017,1,20,13,42,Parklands,-1.260482383,36.80860436
Road Carnage,2018,2,4,18,1,Kibera,-1.3159515,36.79043911
Armed Robbery,2020,7,20,13,23,Kibera,-1.313377257,36.79784201
Road Carnage,2017,12,25,2,55,South B,-1.309873212,36.83713094
Road Carnage,2017,8,26,11,29,Githurai,-1.210787637,36.91850554
Armed Robbery,2018,8,22,20,47,Uhuru Park,-1.291912768,36.81687435
Fraud,2018,3,31,5,40,Thika,-1.055464524,37.10123903
Fraud,2018,8,24,8,59,Ngong,-1.361415817,36.66742756
Road Carnage,2017,2,29,14,15,South B,-1.315525825,36.83550016
Pick Pocketing,2018,12,13,16,11,Kahawa West,-1.188605268,36.89691913
Drug Charges,2020,6,15,0,33,Uhuru Park,-1.29116194,36.81595167
Sexual Assault,2018,2,7,12,21,UpperHill,-1.298163388,36.81816375
Carjacking,2020,7,3,16,14,Githurai,-1.203064589,36.9597901
Sexual Assault,2020,12,11,1,42,UpperHill,-1.298549527,36.81274569
Armed Robbery,2019,3,27,7,45,Thika,-1.028089061,37.06853754
Sexual Assault,2019,5,2,2,28,Kibera,-1.313377257,36.79784201
Road Carnage,2018,1,30,9,6,Kibera,-1.310631395,36.79153345
Sexual Assault,2018,11,27,20,12,UpperHill,-1.30067329,36.81582487
Sexual Assault,2017,8,23,14,11,Kibera,-1.313956462,36.79674767
Terrorism,2017,11,4,20,35,UpperHill,-1.298549527,36.81274569
Drug Charges,2020,12,2,16,31,Githurai,-1.204866636,36.92777526
Fraud,2018,10,17,9,27,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2020,10,10,19,44,Githurai,-1.204866636,36.92777526
Pick Pocketing,2017,9,16,22,15,Kibera,-1.313956462,36.79674767
Drug Charges,2017,10,21,8,10,South C,-1.315895748,36.82659496
Road Carnage,2018,1,9,15,50,UpperHill,-1.298549527,36.81274569
Terrorism,2020,8,16,12,47,South C,-1.312034383,36.82256092
Terrorism,2020,1,6,10,47,South C,-1.327222385,36.83938373
Armed Robbery,2017,7,7,23,9,Kibera,-1.314278242,36.79372214
Fraud,2020,2,4,15,24,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2020,3,18,5,36,Ngong,-1.375659647,36.6759248
Carjacking,2018,5,2,10,54,Parklands,-1.25514071,36.80907643
Drug Charges,2018,12,23,20,34,South B,-1.314378142,36.83863298
Sexual Assault,2017,4,16,0,3,Uhuru Park,-1.291912768,36.81687435
Terrorism,2017,5,19,11,47,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2017,6,3,19,46,Kibera,-1.314278242,36.79372214
Terrorism,2017,2,12,0,22,Uhuru Park,-1.2903935,36.8165834
Road Carnage,2018,2,27,2,51,Kibera,-1.310631395,36.79153345
Pick Pocketing,2018,8,22,3,16,Kibera,-1.3159515,36.79043911
Pick Pocketing,2018,3,2,5,28,Githurai,-1.204866636,36.92777526
Pick Pocketing,2020,8,24,10,30,UpperHill,-1.298163388,36.81816375
Sexual Assault,2018,10,7,3,15,Kibera,-1.313377257,36.79784201
Pick Pocketing,2020,7,13,23,14,South C,-1.312034383,36.82256092
Sexual Assault,2018,9,14,22,21,Ngong,-1.349746111,36.65120556
Sexual Assault,2019,10,7,17,21,Ngong,-1.349746111,36.65120556
Sexual Assault,2020,6,31,6,31,UpperHill,-1.298549527,36.81274569
Terrorism,2019,2,17,21,20,UpperHill,-1.299707944,36.80938757
Terrorism,2019,6,8,19,10,Kibera,-1.314278242,36.79372214
Fraud,2018,7,19,3,39,Parklands,-1.259163055,36.8206743
Pick Pocketing,2017,3,15,5,38,Kibera,-1.310631395,36.79153345
Drug Charges,2019,2,7,5,0,South C,-1.309374327,36.82633747
Fraud,2017,11,2,0,43,Ngong,-1.366907424,36.67197658
Sexual Assault,2020,10,9,12,27,Parklands,-1.261286851,36.81704796
Carjacking,2020,7,16,18,16,Uhuru Park,-1.291912768,36.81687435
Sexual Assault,2017,5,5,23,8,Kahawa West,-1.186717399,36.9032706
Armed Robbery,2020,10,9,5,44,Githurai,-1.204866636,36.92777526
Road Carnage,2019,12,24,22,17,Parklands,-1.259163055,36.8206743
Carjacking,2020,10,25,12,24,Ngong,-1.375659647,36.6759248
Armed Robbery,2017,1,8,12,1,Kahawa West,-1.186717399,36.9032706
Sexual Assault,2018,9,17,19,22,Parklands,-1.260482383,36.80860436
Terrorism,2017,6,4,3,59,South C,-1.327136577,36.82569374
Carjacking,2019,2,20,4,56,Githurai,-1.203965613,36.91241157
Drug Charges,2018,5,9,19,44,Kahawa West,-1.181697376,36.90348517
Fraud,2020,7,4,8,59,Thika,-1.03581257,37.08390123
Terrorism,2019,10,10,7,31,Kibera,-1.314278242,36.79372214
Fraud,2019,7,30,0,53,Kibera,-1.313377257,36.79784201
Carjacking,2019,12,11,0,2,Kibera,-1.310631395,36.79153345
Road Carnage,2018,3,7,8,32,UpperHill,-1.30067329,36.81582487
Drug Charges,2018,11,6,14,26,Ngong,-1.375659647,36.6759248
Armed Robbery,2017,7,19,3,29,Kahawa West,-1.188605268,36.89691913
Carjacking,2017,3,12,9,19,Ngong,-1.361415817,36.66742756
Drug Charges,2017,5,20,1,18,UpperHill,-1.30067329,36.81582487
Armed Robbery,2019,1,24,17,4,Kahawa West,-1.186717399,36.9032706
Sexual Assault,2019,12,21,17,38,UpperHill,-1.298163388,36.81816375
Carjacking,2020,5,7,24,59,Githurai,-1.203064589,36.9597901
Road Carnage,2018,3,23,12,22,Thika,-1.048427594,37.07454568
Pick Pocketing,2019,10,24,17,46,South B,-1.309572883,36.83095113
Sexual Assault,2019,2,30,21,0,South C,-1.312034383,36.82256092
Pick Pocketing,2020,5,17,24,53,Thika,-1.048427594,37.07454568
Carjacking,2019,3,9,2,14,Thika,-1.03581257,37.08390123
Drug Charges,2020,1,10,21,51,South B,-1.314378142,36.83863298
Pick Pocketing,2020,2,7,1,53,Thika,-1.028089061,37.06853754
Armed Robbery,2017,7,30,22,38,Ngong,-1.349746111,36.65120556
Road Carnage,2018,12,13,6,1,South C,-1.315895748,36.82659496
Terrorism,2018,2,3,3,21,Githurai,-1.203965613,36.91241157
Fraud,2018,1,20,2,25,UpperHill,-1.298163388,36.81816375
Terrorism,2019,6,18,23,48,Uhuru Park,-1.291912768,36.81687435
Fraud,2019,8,15,4,17,Githurai,-1.204866636,36.92777526
Carjacking,2018,3,12,24,3,Parklands,-1.259163055,36.8206743
Terrorism,2017,5,19,4,60,Githurai,-1.203064589,36.9597901
Sexual Assault,2020,4,7,13,50,Uhuru Park,-1.291912768,36.81687435
Pick Pocketing,2017,10,22,8,14,Kahawa West,-1.186717399,36.9032706
Fraud,2020,6,4,3,37,South C,-1.309374327,36.82633747
Carjacking,2019,7,4,10,55,UpperHill,-1.298549527,36.81274569
Terrorism,2018,1,13,24,39,South C,-1.309374327,36.82633747
Road Carnage,2020,6,11,9,53,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2020,10,23,24,9,UpperHill,-1.298163388,36.81816375
Sexual Assault,2017,10,4,18,45,South C,-1.327222385,36.83938373
Pick Pocketing,2018,3,22,23,51,Thika,-1.03581257,37.08390123
Pick Pocketing,2017,6,6,22,27,Kahawa West,-1.186717399,36.9032706
Road Carnage,2020,2,15,14,13,Parklands,-1.261286851,36.81704796
Carjacking,2018,4,7,5,45,Githurai,-1.203965613,36.91241157
Carjacking,2017,10,14,11,50,South B,-1.315525825,36.83550016
Fraud,2018,6,11,18,54,Kahawa West,-1.181697376,36.90348517
Armed Robbery,2019,2,6,14,34,Parklands,-1.261286851,36.81704796
Carjacking,2019,3,11,14,44,South C,-1.312034383,36.82256092
Fraud,2017,3,7,5,4,Kahawa West,-1.181697376,36.90348517
Road Carnage,2017,3,3,3,2,Ngong,-1.361415817,36.66742756
Armed Robbery,2019,7,29,6,24,Parklands,-1.260482383,36.80860436
Terrorism,2020,8,19,17,22,Kibera,-1.313377257,36.79784201
Pick Pocketing,2018,4,23,5,23,South B,-1.309572883,36.83095113
Road Carnage,2019,2,23,19,39,Uhuru Park,-1.291912768,36.81687435
Fraud,2018,8,8,21,14,Kahawa West,-1.186717399,36.9032706
Sexual Assault,2018,6,29,0,60,Thika,-1.048427594,37.07454568
Pick Pocketing,2019,11,27,18,0,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2017,12,27,19,49,Thika,-1.048427594,37.07454568
Sexual Assault,2018,4,27,10,60,Kahawa West,-1.181697376,36.90348517
Sexual Assault,2019,11,10,16,23,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2018,2,1,15,58,Thika,-1.048427594,37.07454568
Drug Charges,2017,5,5,15,37,South B,-1.314378142,36.83863298
Carjacking,2020,4,8,16,7,South B,-1.309873212,36.83713094
Pick Pocketing,2020,12,19,22,32,Parklands,-1.25514071,36.80907643
Armed Robbery,2018,12,20,6,15,Githurai,-1.203965613,36.91241157
Carjacking,2018,4,7,5,51,UpperHill,-1.30067329,36.81582487
Sexual Assault,2018,12,3,15,44,UpperHill,-1.299707944,36.80938757
Sexual Assault,2018,10,22,16,38,Thika,-1.048427594,37.07454568
Fraud,2017,3,24,12,60,Uhuru Park,-1.29116194,36.81595167
Fraud,2018,9,14,3,51,UpperHill,-1.298549527,36.81274569
Sexual Assault,2020,7,26,5,3,South C,-1.315895748,36.82659496
Sexual Assault,2020,5,26,18,10,Githurai,-1.204866636,36.92777526
Armed Robbery,2018,11,2,11,14,Kibera,-1.310631395,36.79153345
Terrorism,2019,6,25,6,42,UpperHill,-1.298163388,36.81816375
Terrorism,2018,8,4,12,17,Kahawa West,-1.188605268,36.89691913
Sexual Assault,2018,1,14,23,19,Githurai,-1.203965613,36.91241157
Sexual Assault,2019,12,28,3,34,South B,-1.309572883,36.83095113
Road Carnage,2017,10,24,11,23,Ngong,-1.361415817,36.66742756
Sexual Assault,2017,6,19,1,49,Parklands,-1.261286851,36.81704796
Pick Pocketing,2017,2,9,5,4,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2020,1,30,13,16,Parklands,-1.260482383,36.80860436
Fraud,2017,8,3,4,46,South C,-1.327136577,36.82569374
Drug Charges,2020,9,29,17,51,South B,-1.309572883,36.83095113
Terrorism,2018,3,27,1,41,Githurai,-1.210787637,36.91850554
Drug Charges,2018,7,22,18,17,South C,-1.312034383,36.82256092
Armed Robbery,2017,9,19,12,43,South B,-1.315525825,36.83550016
Armed Robbery,2019,6,20,20,19,Githurai,-1.203064589,36.9597901
Carjacking,2020,4,25,7,48,Thika,-1.03581257,37.08390123
Carjacking,2018,3,19,0,24,Parklands,-1.25514071,36.80907643
Carjacking,2017,6,27,9,21,Githurai,-1.203064589,36.9597901
Sexual Assault,2018,5,28,15,60,Thika,-1.048427594,37.07454568
Fraud,2018,5,17,16,9,Ngong,-1.366907424,36.67197658
Terrorism,2019,3,1,14,30,Parklands,-1.260482383,36.80860436
Fraud,2020,2,6,19,3,Thika,-1.03581257,37.08390123
Drug Charges,2018,3,25,19,45,Parklands,-1.25514071,36.80907643
Armed Robbery,2020,10,12,16,42,Githurai,-1.204866636,36.92777526
Pick Pocketing,2018,6,28,24,43,Ngong,-1.349746111,36.65120556
Road Carnage,2017,6,7,9,52,South C,-1.312034383,36.82256092
Road Carnage,2018,5,17,12,6,Kahawa West,-1.188605268,36.89691913
Carjacking,2018,2,10,6,11,Ngong,-1.349746111,36.65120556
Terrorism,2017,9,24,6,26,Thika,-1.03581257,37.08390123
Fraud,2017,4,21,16,48,South C,-1.312034383,36.82256092
Drug Charges,2020,9,22,21,20,Kibera,-1.314278242,36.79372214
Pick Pocketing,2018,3,15,0,25,South B,-1.315525825,36.83550016
Fraud,2018,3,14,19,45,Ngong,-1.361415817,36.66742756
Fraud,2018,1,19,16,25,UpperHill,-1.298549527,36.81274569
Pick Pocketing,2017,6,5,12,58,Githurai,-1.203064589,36.9597901
Terrorism,2018,3,29,18,51,Parklands,-1.25514071,36.80907643
Armed Robbery,2019,8,20,3,22,South C,-1.327222385,36.83938373
Carjacking,2019,2,25,16,1,South C,-1.312034383,36.82256092
Sexual Assault,2017,12,20,1,44,Uhuru Park,-1.29116194,36.81595167
Armed Robbery,2020,7,21,10,22,Kibera,-1.313377257,36.79784201
Sexual Assault,2017,6,20,20,18,UpperHill,-1.298549527,36.81274569
Pick Pocketing,2020,4,28,3,26,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2018,8,21,1,59,Kahawa West,-1.187060648,36.8999232
Road Carnage,2018,7,28,4,3,Ngong,-1.375659647,36.6759248
Drug Charges,2017,3,7,9,37,UpperHill,-1.298163388,36.81816375
Armed Robbery,2020,5,10,14,53,Kibera,-1.313956462,36.79674767
Sexual Assault,2018,5,16,17,4,Kibera,-1.313956462,36.79674767
Carjacking,2019,6,9,23,48,Kahawa West,-1.188605268,36.89691913
Pick Pocketing,2020,8,29,1,14,Uhuru Park,-1.291912768,36.81687435
Drug Charges,2017,5,7,7,16,South B,-1.309873212,36.83713094
Terrorism,2017,9,2,21,50,Kahawa West,-1.181697376,36.90348517
Fraud,2018,10,27,15,33,Parklands,-1.261286851,36.81704796
Road Carnage,2018,7,26,19,57,Kibera,-1.313956462,36.79674767
Road Carnage,2020,9,12,10,30,Kibera,-1.314278242,36.79372214
Armed Robbery,2017,11,11,20,47,Uhuru Park,-1.29116194,36.81595167
Armed Robbery,2018,11,5,6,56,UpperHill,-1.299707944,36.80938757
Armed Robbery,2018,12,22,6,56,Kahawa West,-1.187060648,36.8999232
Terrorism,2018,5,27,17,7,UpperHill,-1.299707944,36.80938757
Pick Pocketing,2019,2,20,16,55,Kibera,-1.310631395,36.79153345
Pick Pocketing,2018,6,19,7,55,Parklands,-1.261286851,36.81704796
Road Carnage,2020,8,20,19,23,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2018,1,24,2,16,Uhuru Park,-1.291912768,36.81687435
Armed Robbery,2020,10,23,15,42,Parklands,-1.259163055,36.8206743
Terrorism,2017,12,24,8,28,UpperHill,-1.30067329,36.81582487
Drug Charges,2020,5,1,8,14,Kahawa West,-1.181697376,36.90348517
Fraud,2020,12,2,20,33,Kahawa West,-1.187060648,36.8999232
Pick Pocketing,2017,10,6,13,47,Kibera,-1.313377257,36.79784201
Road Carnage,2019,3,11,0,20,Githurai,-1.210787637,36.91850554
Pick Pocketing,2017,8,29,15,16,South B,-1.309572883,36.83095113
Carjacking,2018,11,2,4,10,Ngong,-1.349746111,36.65120556
Terrorism,2017,8,6,2,32,Thika,-1.03581257,37.08390123
Road Carnage,2020,6,30,6,16,Uhuru Park,-1.291912768,36.81687435
Carjacking,2018,7,2,4,59,South C,-1.327136577,36.82569374
Terrorism,2019,3,30,1,23,Githurai,-1.203064589,36.9597901
Sexual Assault,2018,10,31,3,25,Kahawa West,-1.181697376,36.90348517
Fraud,2017,6,3,11,33,Kibera,-1.314278242,36.79372214
Road Carnage,2019,5,26,3,2,Parklands,-1.260482383,36.80860436
Terrorism,2018,11,11,24,45,Parklands,-1.260482383,36.80860436
Pick Pocketing,2018,9,6,19,45,Parklands,-1.261286851,36.81704796
